Time,Temperature,Voltage,Amps,Resistance
Thu Aug 10 10:57:20 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014352490000000005, -0.00012757970000000003, -0.0001116305, -9.568440000000002e-05, -7.972903e-05, -6.378811999999999e-05, -4.784180000000001e-05, -3.1894300000000004e-05, -1.594629e-05, 4.2571e-09]",55738.26749889248
Thu Aug 10 10:57:24 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435237, -0.00012757729999999997, -0.00011163130000000001, -9.56844e-05, -7.972865e-05, -6.378746000000001e-05, -4.7841059999999996e-05, -3.189331e-05, -1.594513e-05, 5.208e-09]",55738.25613556585
Thu Aug 10 10:57:33 2023,294.076,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014352520000000002, -0.0001275771, -0.00011163050000000002, -9.568509999999998e-05, -7.972947e-05, -6.378841e-05, -4.7841860000000004e-05, -3.1894220000000005e-05, -1.594595e-05, 4.1963e-09]",55738.50457490681
Thu Aug 10 10:57:41 2023,294.076,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014352819999999999, -0.00012758179999999999, -0.00011163650000000001, -9.56889e-05, -7.973146999999999e-05, -6.379037e-05, -4.7843959999999995e-05, -3.189575e-05, -1.594762e-05, 3.0475000000000005e-09]",55737.12025533847
Thu Aug 10 10:57:50 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014353129999999999, -0.00012758359999999998, -0.00011163750000000002, -9.56896e-05, -7.973249e-05, -6.379122999999999e-05, -4.784437e-05, -3.1896709999999996e-05, -1.5948209999999998e-05, 2.5297999999999997e-09]",55736.4224990744
Thu Aug 10 10:57:59 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.000143528, -0.0001275822, -0.00011163479999999998, -9.568900000000001e-05, -7.973100999999999e-05, -6.378967e-05, -4.78425e-05, -3.1895070000000004e-05, -1.5946649999999997e-05, 4.387e-09]",55736.703525425444
Thu Aug 10 10:58:08 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435308, -0.00012758369999999998, -0.0001116372, -9.56894e-05, -7.973282e-05, -6.379137999999999e-05, -4.7844580000000005e-05, -3.1896660000000006e-05, -1.594803e-05, 2.8542e-09]",55736.46308549033
Thu Aug 10 10:58:17 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.00014352819999999999, -0.0001275834, -0.0001116344, -9.568780000000001e-05, -7.973081000000001e-05, -6.37897e-05, -4.784269e-05, -3.1894430000000006e-05, -1.5946199999999997e-05, 4.8553e-09]",55736.39933501556
Thu Aug 10 10:58:26 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435318, -0.00012758670000000003, -0.00011164009999999999, -9.56928e-05, -7.973365000000001e-05, -6.379203999999999e-05, -4.7844950000000003e-05, -3.189719e-05, -1.5948589999999998e-05, 2.8411e-09]",55735.46620288721
Thu Aug 10 10:58:35 2023,294.075,"[-8.0, -7.111111111111111, -6.222222222222222, -5.333333333333334, -4.444444444444445, -3.5555555555555554, -2.666666666666667, -1.7777777777777786, -0.8888888888888893, 0.0]","[-0.0001435308, -0.000127585, -0.0001116376, -9.56911e-05, -7.973258e-05, -6.379137e-05, -4.784412e-05, -3.1896009999999995e-05, -1.594728e-05, 3.9449e-09]",55735.70754014556
